shop_id,time_since_last_purchase_by_december_customers,FIT O ORANGE 200MLs_sold,ORANGE BARLEY 1.5Ls_sold_by_LEMONADE 1.5Ls_sold,time_since_last_purchase_by_FIT O ORANGE 1Ls_sold,weekday_sales_by_NECTO 1.5Ls_sold,time_since_last_purchase_by_BOTTLED DRINKING WATER 1.5Ls_sold,BOTTLED DRINKING WATER 500MLs_sold,quantity_per_shop_by_LEMONADE 500MLs_sold,CREAM SODA 1.5Ls_sold_by_FIT O ORANGE 1Ls_sold,LEMONADE 1.5Ls_sold_by_BOTTLED DRINKING WATER 1.5Ls_sold,ORANGE BARLEY 1.5Ls_sold_by_FIT O ORANGE 1Ls_sold,quantity_per_shop_by_avg_customers_per_month,ORANGE BARLEY 1.5Ls_sold_by_BOTTLED DRINKING WATER 1.5Ls_sold,STRAWBERRY MILK 180MLs_sold_by_ORANGE CRUSH 1.5Ls_sold,FIT O MIXED FRUIT 1Ls_sold_by_GINGER BEER SUGAR FREE 500MLs_sold,november_customers,quantity_per_shop_by_NECTO 1.5Ls_sold,FIT O ORANGE 1Ls_sold,average_price_per_invoice_by_FIT O ORANGE 1Ls_sold,CREAM SODA 1.5Ls_sold_by_GINGER BEER 500MLs_sold,time_since_last_purchase_by_unique_customers,average_price_per_invoice_by_LEMONADE 500MLs_sold,time_since_last_purchase_by_FIT O MANGO 200MLs_sold,avg_customers_per_month_by_time_since_last_purchase,FIT O ORANGE 1Ls_sold_by_NECTO 1.5Ls_sold,STRAWBERRY MILK 180MLs_sold_by_LEMONADE 1.5Ls_sold,quantity_per_shop_by_ORANGE CRUSH 1.5Ls_sold,CREAM SODA 1.5Ls_sold_by_NECTO 500MLs_sold,came_more_than_once_by_CREAM SODA 1.5Ls_sold,avg_customers_per_month_by_FIT O MANGO 200MLs_sold,shop_profile
SHOP047,0.01787613387550829,250,2.793103448275862,0.17335692618806875,2173.684210526316,0.26622670807453414,241,110.47826086956522,4.395348837209302,1.0357142857142858,1.8837209302325582,6.904891304347826,2.892857142857143,2.72972972972973,1.0,700.0,33.43421052631579,43,6.022398456757046,2.8208955223880596,0.0080327023988006,11.259266680024043,0.10353260869565217,49.36716243802858,0.5657894736842105,3.4827586206896552,68.67567567567568,10.5,1.687830687830688,5.111111111111111,Moderate
SHOP009,0.006075020472247674,444,1.7734375,0.0632851053511844,1756.4,0.09996170049789353,853,80.75949367088607,3.5179856115107913,1.4545454545454546,1.6330935251798562,6.29812438302073,2.5795454545454546,1.392,1.2272727272727273,1795.0,25.52,139,1.757821913096491,2.893491124260355,0.0035214690327520543,3.09287653063813,0.10598348968451363,115.15774120515499,0.556,1.359375,51.04,9.226415094339623,1.8445807770961145,12.204819277108435,High
SHOP083,0.00807061790668348,261,2.183333333333333,0.06189409128434957,1721.180904522613,0.1433879781420765,505,106.61702127659575,3.223021582733813,2.0,1.8848920863309353,6.488131204143288,4.366666666666666,1.7526881720430108,1.4,1488.0,25.180904522613066,139,1.9278352152714915,5.397590361445783,0.0045280414150129416,5.701470104739092,0.11948998178506375,89.77197662601627,0.6984924623115578,1.3583333333333334,53.88172043010753,15.448275862068966,1.5625,10.726851851851853,Low
SHOP117,0.0068048994238717265,308,1.9307692307692308,0.05772746893807962,1398.0166666666667,0.09557103190859847,402,160.8684210526316,2.7583892617449663,1.4444444444444444,1.6845637583892616,7.121941747572815,2.7888888888888888,1.5964912280701755,1.2741935483870968,1674.0,20.376666666666665,149,1.8613322508936505,6.737704918032787,0.004222578729393158,7.298381720609314,0.06418949904308853,99.79003937257892,0.49666666666666665,0.7,107.24561403508773,11.108108108108109,2.046228710462287,6.4054726368159205,Low
SHOP042,0.008966391883322765,273,2.021505376344086,0.0676555023923445,2351.1382113821137,0.135311004784689,488,115.73684210526316,2.515151515151515,1.4090909090909092,1.4242424242424243,5.989105764866092,2.8484848484848486,2.4363636363636365,1.0425531914893618,1321.0,35.75609756097561,132,1.8557721503613287,3.287128712871287,0.004850910546327796,6.446366417044616,0.1717408906882591,82.22732987584473,1.0731707317073171,1.4408602150537635,79.96363636363637,17.473684210526315,1.7891566265060241,14.121794871794872,Low
SHOP034,0.012084240926111751,221,2.86046511627907,0.10111870568056729,824.3666666666667,0.15167805852085092,403,130.92592592592592,2.8735632183908044,0.7413793103448276,1.4137931034482758,6.669811320754717,2.1206896551724137,2.2432432432432434,1.6956521739130435,963.0,11.783333333333333,87,3.086929962350712,3.8461538461538463,0.006705280026074203,9.946774323130072,0.23150861563708827,60.245569620253164,0.29,3.86046511627907,47.770270270270274,13.88888888888889,1.936,13.947368421052632,Low
SHOP100,0.005188844469658803,357,1.6147186147186148,0.03780097443083212,1131.7224880382776,0.0617512101389166,549,96.20270270270271,3.0186915887850465,1.7633587786259541,1.7429906542056075,6.9931237721021615,2.8473282442748094,3.4017857142857144,1.4776119402985075,1873.0,17.0311004784689,214,1.3485482033919463,4.5174825174825175,0.003240948929566536,3.899855615214547,0.059480945060279955,125.84356401972454,0.5119617224880383,1.6493506493506493,63.5625,15.380952380952381,1.4628482972136223,7.485294117647059,Moderate
SHOP057,0.009412538839202853,243,0.94,0.05792863976774108,2297.16,0.09268582362838573,362,103.70731707317073,1.7794117647058822,1.7647058823529411,1.036764705882353,7.749696233292831,1.6588235294117648,5.125,0.5119047619047619,1120.0,34.016,136,2.113396718203898,2.033613445378151,0.005932451060551798,7.010291553066588,0.1270692743292385,69.64281815808832,1.088,1.64,88.58333333333333,24.2,2.0661157024793386,8.849462365591398,Moderate
SHOP098,0.006262047202828262,297,6.5,0.06226264075954957,1039.3929359823398,0.10895962132921175,505,178.88888888888889,5.771428571428571,1.0,3.7142857142857144,7.2224299065420565,6.5,2.235294117647059,1.934782608695652,1764.0,14.216335540838852,140,2.094586728754366,6.412698412698413,0.00424173708337564,8.145615056266978,0.08716769706336941,102.29324585900675,0.3090507726269316,2.375,75.76470588235294,36.72727272727273,1.0804455445544554,8.916666666666666,Low
SHOP123,0.015051531671196829,168,2.019607843137255,0.0945236188951161,1924.4285714285713,0.13313185759875507,279,112.42307692307692,2.34,0.7183098591549296,1.03,6.223562810503903,1.4507042253521127,3.510204081632653,0.7714285714285715,819.0,27.83809523809524,100,2.5134639303482587,3.4411764705882355,0.00815561854142503,9.667168962877918,0.5251312160839783,49.68775763735954,0.9523809523809523,3.372549019607843,59.6530612244898,13.0,1.7521367521367521,26.092592592592595,Moderate
